KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R score,FAIR score,R1.3-M Metadata are described with VoID/DCAT predicates
12323,Korepetycje Buki,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
aemet,AEMET metereological dataset,http://aemet.linkeddata.es/sparql,[],False,1,0.0,1,0.78,0,1,0.63,1.0,1,0.0,1,0.75,1,1,0.0,1,0.75,1,1,1,1.0,3.13,1
akash, equipment ontology,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
Altawil,AAT-atawil,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
austrian_ski_racers,Alpine Ski Racers of Austria,http://vocabulary.semantic-web.at/PoolParty/sparql/AustrianSkiTeam,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
Bacevicius.lt,Bacevicius.lt,,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
baixue,红色经典歌曲,http://baixue.com,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.07,0
baixue_composer,baixue composer,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.06,0
baixue_imagery,红色经典歌曲,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.06,0
baixue_imagery1,红色经典歌曲,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.06,0
bendevoficial,Bendev Junior,,['https://bendevoficial.com/bendev.rdf'],False,1,0.0,1,0.44,0,1,0.57,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0.75,2.32,0
CaLiGraph,CaLiGraph,http://caligraph.org/sparql,[],False,1,0.0,1,0.56,1,1,0.76,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1.0,3.51,1
caligraph,CaLiGraph,http://caligraph.org/sparql,['https://zenodo.org/records/8068322'],False,1,0.0,1,0.67,1,1,0.78,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1.0,3.53,1
data.odw.tw,Open Data Web,http://data.odw.tw/sparql,[],False,1,0.0,1,0.22,0,1,0.54,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,0,1,1,0.5,1.79,0
dbpedia,DBpedia,http://dbpedia.org/sparql,[],False,1,0.7928,1,0.78,0,1,0.76,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1.0,3.51,1
dbpedia-el,DBpedia in Greek,http://el.dbpedia.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.61,0
dbpedia-es,DBpedia in Spanish,http://es.dbpedia.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.61,0
