KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
agris,AGRIS,http://202.45.139.84:10035/catalogs/fao/repositories/agris,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
aliada-scanbit-net,aliada-scanbit-net,http://aliada.scanbit.net:8891/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
amsterdam-museum-as-edm-lod,Amsterdam Museum as Linked Open Data in the Europeana Data Model,http://data.dive.beeldengeluid.nl/sparql/,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
archiveshub-linkeddata,Archives Hub Linked Data,http://data.archiveshub.ac.uk/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
ASCDC-CRB,Database of Chinese Rare Books (CRB),,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
b3kat,"B3Kat - Library Union Catalogues of Bavaria, Berlin and Brandenburg",http://lod.b3kat.de/sparql,"['http://lod.b3kat.de/download/lod.b3kat.de.part0.ttl.gz', 'http://lod.b3kat.de/download/lod.b3kat.de.part1.ttl.gz', 'http://lod.b3kat.de/download/lod.b3kat.de.part2.ttl.gz', 'http://lod.b3kat.de/download/lod.b3kat.de.part3.ttl.gz', 'http://lod.b3kat.de/download/lod.b3kat.de.part4.ttl.gz', 'http://lod.b3kat.de/download/lod.b3kat.de.part5.ttl.gz']",False,1,1.0,1,0.67,0,1,0.78,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.53
bibbase,BibBase,http://data.bibbase.org:2020/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
biblioteca-nacional-escolar-bnescolar,Biblioteca Nacional Escolar (BNEscolar),,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.32
BibSonomy,BibSonomy - The blue social bookmark and publication sharing system.,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
bluk-bnb,British National Bibliography (BNB) - Linked Open Data,http://bnb.data.bl.uk/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
bncf-ns,Thesaurus BNCF,http://digitale.bncf.firenze.sbn.it/openrdf-workbench/repositories/NS/query,"['https://github.com/m-pepe/BNCF-NS/raw/main/ns201803.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns201810.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns201904.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns201910.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202004.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202010.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202104.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202110.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202203.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202210.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202303.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202310.zip', 'https://github.com/m-pepe/BNCF-NS/raw/main/ns202403.zip']",False,1,1.0,1,0.67,0,1,0.78,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.53
bpr,BPR ? Bibliography of the Italian Parliament and electoral studies,http://dati.camera.it/sparql,[],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.32
BVMC,Biblioteca Virtual Miguel de Cervantes,http://data.cervantesvirtual.com/sparql,[],False,1,0.9798,1,0.56,0,1,0.76,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.51
calames,Calames,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
ciard-ring,ciard-ring,,[],False,1,0.0,1,0.33,0,1,0.56,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.06
colinda,COLINDA - Conference Linked Data,http://colinda.org/endpoint.php,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
comsode-d3-2,Requirements on the COMSODE project based on selected datasets,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
data-bnf-fr,data.bnf.fr - Bibliothèque nationale de France,http://data.bnf.fr/sparql,[],False,1,0.0,1,0.44,0,1,0.57,1.0,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.82
