KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
11,113322,,['https://skinphoniqa.wixsite.com/skinphoniqa'],False,0,0.0,1,0.44,0,1,0.41,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.16
A1,ITS TEST DATASET,,['https://drive.google.com/file/d/1xPsLdkFPU1BA1IJwxAYg68SSxoDNukWi/view?usp=sharing'],False,0,0.0,1,0.33,0,1,0.39,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.14
abc,SummerOlympics,https://dbpedia.org/page/Summer_Olympic_Games,[],False,0,0.0,1,0.56,0,1,0.43,0.5,1,0.0,1,0.62,1,0,0.0,1,0.5,1,1,1,0,0.75,2.3
ABC,Test_m,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,1.87
abhay_intro,my intro,,[],False,0,0.0,1,0.22,0,1,0.37,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,1.87
aegp-spanish-textile-and-clothing-association,"AEGP, Spanish Textile and Clothing Association",,[],False,0,0.0,1,0.56,0,1,0.43,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.43
Anime,Anime Dataset,,['https://docs.google.com/spreadsheets/d/1IGFA1xlNSJUKKdoVLZub8xyK2yBRKJ0NxRy0yDt8AIg/edit#gid=2140525863'],False,0,0.0,1,0.44,0,1,0.41,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.16
AntiqueCarsCollection,Antique Cars Collection (Linked Cars),,[],False,0,0.0,1,0.44,0,1,0.41,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.16
apache,apache,,[],False,0,0.0,1,0.56,0,1,0.43,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.43
artenuevosmedios-gnoss,Entornos interactivos. Arte en los nuevos medios (GNOSS),,[],False,0,0.0,1,0.56,0,1,0.43,1.0,1,0.0,1,0.75,1,1,0.0,1,0.75,1,1,1,1,1.0,2.93
arthroscopy,Arthroscopy community,,[],False,0,0.0,1,0.56,0,1,0.43,1.0,1,0.0,1,0.75,1,1,0.0,1,0.75,1,1,1,1,1.0,2.93
ASCDC-_NTM-Formosan-Aborigines,The National Taiwan Museum's Formosan Aborigines Collections Digitizing Project (NTM-Formosan-Aborigines),,[],False,0,0.0,1,0.44,0,1,0.41,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.16
ASCDC-AS-NTUE-School-Art-Textbooks,Archive of the Art Textbooks of Elementary and Public Schools in the Japanese Colonial Period (AS-NTUE-School-Art-Textbooks),,[],False,0,0.0,1,0.44,0,1,0.41,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.16
ASCDC-DQOT,Database of Qing Official Titles (DQOT),,[],False,0,0.0,1,0.44,0,1,0.41,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.16
ASCDC-IHP-WCD,Database of the Han Wooden Slips Character Dictionary (WCD),,[],False,0,0.0,1,0.44,0,1,0.41,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.16
ASCDC-Linked-Taiwan-Artists,Linked Taiwan Artists (LTA),,[],False,0,0.0,1,0.44,0,1,0.41,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.16
ASCDC-Qing-Secret-Societies,Dataset of the Qing Secret Societies (Sect of the Shifokou Wangs' Clan),,['https://lod-cloud.net/dataset/ASCDC-Qing-Secret-Societies'],False,0,0.0,1,0.56,0,1,0.43,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.43
